TITLE SAMPLE NAME:,PP_ZEPTO_LID
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.959
LASTX:,599.82981
LASTY:,97.976
NPOINTS:,1681
3594.89838,98.894
3592.85814,98.927
3590.81791,98.941
3588.77767,98.924
3586.73743,98.905
3584.69719,98.9
3582.65696,98.903
3580.61672,98.916
3578.57648,98.928
3576.53624,98.916
3574.49601,98.9
3572.45577,98.901
3570.41553,98.889
3568.37529,98.832
3566.33506,98.771
3564.29482,98.776
3562.25458,98.827
3560.21434,98.869
3558.17411,98.892
3556.13387,98.905
3554.09363,98.913
3552.05339,98.915
3550.01316,98.913
3547.97292,98.901
3545.93268,98.889
3543.89244,98.898
3541.85221,98.923
3539.81197,98.939
3537.77173,98.932
3535.73149,98.921
3533.69126,98.931
3531.65102,98.948
3529.61078,98.951
3527.57054,98.944
3525.53031,98.929
3523.49007,98.916
3521.44983,98.916
3519.40959,98.926
3517.36936,98.941
3515.32912,98.955
3513.28888,98.962
3511.24865,98.954
3509.20841,98.942
3507.16817,98.935
3505.12793,98.923
3503.0877,98.906
3501.04746,98.914
3499.00722,98.947
3496.96698,98.97
3494.92675,98.971
3492.88651,98.982
3490.84627,99
3488.80603,98.987
3486.7658,98.947
3484.72556,98.915
3482.68532,98.897
3480.64508,98.899
3478.60485,98.926
3476.56461,98.954
3474.52437,98.955
3472.48413,98.942
3470.4439,98.935
3468.40366,98.934
3466.36342,98.935
3464.32318,98.94
3462.28295,98.944
3460.24271,98.945
3458.20247,98.956
3456.16223,98.969
3454.122,98.961
3452.08176,98.946
3450.04152,98.943
3448.00128,98.932
3445.96105,98.921
3443.92081,98.93
3441.88057,98.944
3439.84033,98.947
3437.8001,98.941
3435.75986,98.952
3433.71962,98.981
3431.67938,98.996
3429.63915,98.994
3427.59891,98.992
3425.55867,98.979
3423.51843,98.955
3421.4782,98.938
3419.43796,98.932
3417.39772,98.927
3415.35749,98.911
3413.31725,98.899
3411.27701,98.906
3409.23677,98.917
3407.19654,98.924
3405.1563,98.928
3403.11606,98.935
3401.07582,98.963
3399.03559,98.992
3396.99535,98.997
3394.95511,98.98
3392.91487,98.964
3390.87464,98.959
3388.8344,98.955
3386.79416,98.951
3384.75392,98.955
3382.71369,98.957
3380.67345,98.95
3378.63321,98.937
3376.59297,98.93
3374.55274,98.938
3372.5125,98.941
3370.47226,98.932
3368.43202,98.934
3366.39179,98.95
3364.35155,98.962
3362.31131,98.973
3360.27107,98.98
3358.23084,98.974
3356.1906,98.962
3354.15036,98.955
3352.11012,98.956
3350.06989,98.965
3348.02965,98.974
3345.98941,98.974
3343.94917,98.953
3341.90894,98.922
3339.8687,98.923
3337.82846,98.952
3335.78822,98.966
3333.74799,98.961
3331.70775,98.967
3329.66751,98.974
3327.62727,98.962
3325.58704,98.948
3323.5468,98.95
3321.50656,98.965
3319.46633,98.979
3317.42609,98.981
3315.38585,98.977
3313.34561,98.972
3311.30538,98.963
3309.26514,98.945
3307.2249,98.939
3305.18466,98.958
3303.14443,98.983
3301.10419,98.992
3299.06395,98.992
3297.02371,98.999
3294.98348,99.022
3292.94324,99.04
3290.903,99.037
3288.86276,99.021
3286.82253,99
3284.78229,98.976
3282.74205,98.958
3280.70181,98.958
3278.66158,98.97
3276.62134,98.979
3274.5811,98.987
3272.54086,98.993
3270.50063,98.986
3268.46039,98.961
3266.42015,98.934
3264.37991,98.933
3262.33968,98.959
3260.29944,98.989
3258.2592,99.017
3256.21896,99.028
3254.17873,99.001
3252.13849,98.962
3250.09825,98.958
3248.05801,98.985
3246.01778,99.012
3243.97754,99.024
3241.9373,99.022
3239.89706,99.013
3237.85683,99.009
3235.81659,98.999
3233.77635,98.984
3231.73611,98.989
3229.69588,98.99
3227.65564,98.96
3225.6154,98.932
3223.57517,98.924
3221.53493,98.921
3219.49469,98.939
3217.45445,98.966
3215.41422,98.967
3213.37398,98.954
3211.33374,98.946
3209.2935,98.953
3207.25327,98.984
3205.21303,99.015
3203.17279,99.014
3201.13255,99.014
3199.09232,99.031
3197.05208,99.029
3195.01184,98.997
3192.9716,98.973
3190.93137,98.991
3188.89113,99.024
3186.85089,99.021
3184.81065,98.994
3182.77042,98.986
3180.73018,99
3178.68994,99.02
3176.6497,99.03
3174.60947,99.024
3172.56923,99.02
3170.52899,99.029
3168.48875,99.043
3166.44852,99.042
3164.40828,99.017
3162.36804,98.987
