TITLE SAMPLE NAME:,PP_GREEN_LID_UPMA
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.587
LASTX:,599.82981
LASTY:,94.138
NPOINTS:,1681
3596.93862,97.449
3594.89838,97.441
3592.85814,97.449
3590.81791,97.447
3588.77767,97.406
3586.73743,97.362
3584.69719,97.370
3582.65696,97.400
3580.61672,97.409
3578.57648,97.404
3576.53624,97.398
3574.49601,97.401
3572.45577,97.435
3570.41553,97.474
3568.37529,97.454
3566.33506,97.389
3564.29482,97.358
3562.25458,97.366
3560.21434,97.371
3558.17411,97.378
3556.13387,97.408
3554.09363,97.438
3552.05339,97.444
3550.01316,97.445
3547.97292,97.440
3545.93268,97.422
3543.89244,97.420
3541.85221,97.434
3539.81197,97.431
3537.77173,97.403
3535.73149,97.378
3533.69126,97.380
3531.65102,97.393
3529.61078,97.403
3527.57054,97.405
3525.53031,97.402
3523.49007,97.408
3521.44983,97.427
3519.40959,97.436
3517.36936,97.433
3515.32912,97.445
3513.28888,97.464
3511.24865,97.453
3509.20841,97.428
3507.16817,97.419
3505.12793,97.414
3503.0877,97.395
3501.04746,97.387
3499.00722,97.402
3496.96698,97.416
3494.92675,97.418
3492.88651,97.416
3490.84627,97.410
3488.80603,97.398
3486.7658,97.396
3484.72556,97.409
3482.68532,97.422
3480.64508,97.425
3478.60485,97.423
3476.56461,97.421
3474.52437,97.411
3472.48413,97.392
3470.4439,97.367
3468.40366,97.349
3466.36342,97.360
3464.32318,97.389
3462.28295,97.410
3460.24271,97.408
3458.20247,97.393
3456.16223,97.393
3454.122,97.411
3452.08176,97.424
3450.04152,97.423
3448.00128,97.417
3445.96105,97.410
3443.92081,97.407
3441.88057,97.409
3439.84033,97.407
3437.8001,97.399
3435.75986,97.397
3433.71962,97.398
3431.67938,97.395
3429.63915,97.405
3427.59891,97.413
3425.55867,97.390
3423.51843,97.365
3421.4782,97.363
3419.43796,97.379
3417.39772,97.407
3415.35749,97.428
3413.31725,97.435
3411.27701,97.435
3409.23677,97.431
3407.19654,97.422
3405.1563,97.409
3403.11606,97.408
