TITLE SAMPLE NAME:,PET_ZEPTO_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99
LASTX:,599.82981
LASTY:,99.064
NPOINTS:,1681
3594.89838,98.859
3592.85814,98.783
3590.81791,98.814
3588.77767,98.992
3586.73743,98.999
3584.69719,98.849
3582.65696,98.844
3580.61672,98.931
3578.57648,98.977
3576.53624,99.004
3574.49601,99.018
3572.45577,98.969
3570.41553,98.926
3568.37529,98.945
3566.33506,98.867
3564.29482,98.753
3562.25458,98.82
3560.21434,98.964
3558.17411,99.026
3556.13387,99.019
3554.09363,99.009
3552.05339,98.973
3550.01316,98.922
3547.97292,98.945
3545.93268,98.987
3543.89244,98.977
3541.85221,98.992
3539.81197,99.051
3537.77173,99.089
3535.73149,99.047
3533.69126,98.965
3531.65102,98.938
3529.61078,98.96
3527.57054,98.969
3525.53031,98.98
3523.49007,99.018
3521.44983,99.045
3519.40959,99.06
3517.36936,99.066
3515.32912,99.061
3513.28888,99.067
3511.24865,99.082
3509.20841,99.069
3507.16817,99.033
3505.12793,99.058
3503.0877,99.087
3501.04746,99.055
3499.00722,99.049
3496.96698,99.085
3494.92675,99.112
3492.88651,99.12
3490.84627,99.123
3488.80603,99.134
3486.7658,99.142
3484.72556,99.159
3482.68532,99.196
3480.64508,99.197
3478.60485,99.171
3476.56461,99.159
3474.52437,99.149
3472.48413,99.161
3470.4439,99.199
3468.40366,99.217
3466.36342,99.206
3464.32318,99.202
3462.28295,99.211
3460.24271,99.216
3458.20247,99.229
3456.16223,99.244
3454.122,99.246
3452.08176,99.221
3450.04152,99.196
3448.00128,99.212
3445.96105,99.213
3443.92081,99.212
3441.88057,99.247
3439.84033,99.26
3437.8001,99.263
3435.75986,99.268
3433.71962,99.273
3431.67938,99.274
3429.63915,99.256
3427.59891,99.235
3425.55867,99.244
3423.51843,99.278
3421.4782,99.309
3419.43796,99.304
3417.39772,99.293
3415.35749,99.306
3413.31725,99.324
3411.27701,99.336
3409.23677,99.333
3407.19654,99.32
3405.1563,99.323
3403.11606,99.341
3401.07582,99.348
3399.03559,99.337
3396.99535,99.319
3394.95511,99.315
3392.91487,99.352
3390.87464,99.387
3388.8344,99.394
3386.79416,99.385
3384.75392,99.383
3382.71369,99.396
3380.67345,99.408
3378.63321,99.401
3376.59297,99.385
3374.55274,99.391
3372.5125,99.413
3370.47226,99.435
3368.43202,99.449
3366.39179,99.445
3364.35155,99.424
3362.31131,99.421
3360.27107,99.441
3358.23084,99.467
3356.1906,99.494
3354.15036,99.498
3352.11012,99.46
3350.06989,99.425
3348.02965,99.439
3345.98941,99.478
3343.94917,99.488
3341.90894,99.481
3339.8687,99.49
3337.82846,99.507
3335.78822,99.512
3333.74799,99.498
3331.70775,99.488
3329.66751,99.493
3327.62727,99.495
3325.58704,99.485
3323.5468,99.468
3321.50656,99.456
3319.46633,99.467
3317.42609,99.482
3315.38585,99.487
3313.34561,99.492
3311.30538,99.499
3309.26514,99.509
3307.2249,99.514
3305.18466,99.498
3303.14443,99.458
3301.10419,99.424
3299.06395,99.419
3297.02371,99.433
3294.98348,99.454
3292.94324,99.469
3290.903,99.478
3288.86276,99.491
3286.82253,99.49
3284.78229,99.465
3282.74205,99.455
3280.70181,99.466
3278.66158,99.473
3276.62134,99.48
3274.5811,99.482
3272.54086,99.472
3270.50063,99.464
3268.46039,99.472
3266.42015,99.486
3264.37991,99.493
3262.33968,99.49
3260.29944,99.48
3258.2592,99.461
3256.21896,99.445
3254.17873,99.445
3252.13849,99.451
