TITLE SAMPLE NAME:,PET_PAPERBOAT
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.149
LASTX:,599.82981
LASTY:,99.324
NPOINTS:,1681
3594.89838,99.04
3592.85814,99.151
3590.81791,99.181
3588.77767,98.967
3586.73743,98.892
3584.69719,99.082
3582.65696,99.175
3580.61672,99.14
3578.57648,99.135
3576.53624,99.171
3574.49601,99.226
3572.45577,99.288
3570.41553,99.221
3568.37529,98.967
3566.33506,98.863
3564.29482,99.034
3562.25458,99.15
3560.21434,99.155
3558.17411,99.185
3556.13387,99.212
3554.09363,99.163
3552.05339,99.134
3550.01316,99.163
3547.97292,99.112
3545.93268,99.033
3543.89244,99.088
3541.85221,99.206
3539.81197,99.254
3537.77173,99.218
3535.73149,99.188
3533.69126,99.196
3531.65102,99.195
3529.61078,99.181
3527.57054,99.181
3525.53031,99.179
3523.49007,99.186
3521.44983,99.238
3519.40959,99.272
3517.36936,99.268
3515.32912,99.276
3513.28888,99.279
3511.24865,99.244
3509.20841,99.233
3507.16817,99.268
3505.12793,99.216
3503.0877,99.142
3501.04746,99.196
3499.00722,99.254
3496.96698,99.251
3494.92675,99.291
3492.88651,99.352
3490.84627,99.331
3488.80603,99.273
3486.7658,99.307
3484.72556,99.375
3482.68532,99.354
3480.64508,99.331
3478.60485,99.353
3476.56461,99.339
3474.52437,99.298
3472.48413,99.287
3470.4439,99.309
3468.40366,99.333
3466.36342,99.362
3464.32318,99.389
3462.28295,99.391
3460.24271,99.4
3458.20247,99.418
3456.16223,99.432
3454.122,99.461
3452.08176,99.5
3450.04152,99.48
3448.00128,99.376
3445.96105,99.342
3443.92081,99.387
3441.88057,99.415
3439.84033,99.445
3437.8001,99.451
3435.75986,99.443
3433.71962,99.456
3431.67938,99.469
3429.63915,99.458
3427.59891,99.446
3425.55867,99.456
3423.51843,99.46
3421.4782,99.443
3419.43796,99.445
3417.39772,99.451
3415.35749,99.443
3413.31725,99.436
3411.27701,99.431
3409.23677,99.435
3407.19654,99.46
3405.1563,99.499
3403.11606,99.519
3401.07582,99.517
3399.03559,99.5
3396.99535,99.495
3394.95511,99.491
3392.91487,99.501
3390.87464,99.547
3388.8344,99.572
3386.79416,99.534
3384.75392,99.496
3382.71369,99.514
3380.67345,99.561
3378.63321,99.576
3376.59297,99.552
3374.55274,99.537
3372.5125,99.55
3370.47226,99.569
3368.43202,99.571
3366.39179,99.555
3364.35155,99.546
3362.31131,99.566
3360.27107,99.617
3358.23084,99.651
3356.1906,99.651
3354.15036,99.655
3352.11012,99.655
3350.06989,99.641
3348.02965,99.638
3345.98941,99.648
3343.94917,99.648
3341.90894,99.644
3339.8687,99.657
3337.82846,99.668
3335.78822,99.66
3333.74799,99.654
3331.70775,99.662
3329.66751,99.67
3327.62727,99.662
3325.58704,99.648
3323.5468,99.642
3321.50656,99.657
3319.46633,99.694
3317.42609,99.712
3315.38585,99.694
3313.34561,99.671
3311.30538,99.662
3309.26514,99.67
3307.2249,99.692
3305.18466,99.684
3303.14443,99.637
3301.10419,99.607
3299.06395,99.613
3297.02371,99.624
3294.98348,99.629
3292.94324,99.633
3290.903,99.637
3288.86276,99.648
3286.82253,99.648
3284.78229,99.631
3282.74205,99.63
