TITLE SAMPLE NAME:,HDPE_NO_SOAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.45
LASTX:,599.82981
LASTY:,98.269
NPOINTS:,1681
3594.89838,98.234
3592.85814,98.257
3590.81791,98.267
3588.77767,98.236
3586.73743,98.217
3584.69719,98.268
3582.65696,98.333
3580.61672,98.373
3578.57648,98.394
3576.53624,98.396
3574.49601,98.392
3572.45577,98.385
3570.41553,98.336
3568.37529,98.216
3566.33506,98.112
3564.29482,98.149
3562.25458,98.271
3560.21434,98.369
3558.17411,98.426
3556.13387,98.441
3554.09363,98.414
3552.05339,98.369
3550.01316,98.323
3547.97292,98.277
3545.93268,98.253
3543.89244,98.287
3541.85221,98.36
3539.81197,98.416
3537.77173,98.42
3535.73149,98.385
3533.69126,98.35
3531.65102,98.329
3529.61078,98.305
3527.57054,98.277
3525.53031,98.28
3523.49007,98.323
3521.44983,98.36
3519.40959,98.373
3517.36936,98.4
3515.32912,98.443
3513.28888,98.45
3511.24865,98.412
3509.20841,98.395
3507.16817,98.415
3505.12793,98.407
3503.0877,98.378
3501.04746,98.392
3499.00722,98.426
3496.96698,98.446
3494.92675,98.479
3492.88651,98.51
3490.84627,98.485
3488.80603,98.448
3486.7658,98.467
3484.72556,98.509
3482.68532,98.517
3480.64508,98.516
3478.60485,98.525
3476.56461,98.51
3474.52437,98.481
3472.48413,98.481
3470.4439,98.506
3468.40366,98.531
3466.36342,98.554
3464.32318,98.566
3462.28295,98.561
3460.24271,98.562
3458.20247,98.576
3456.16223,98.593
3454.122,98.614
3452.08176,98.629
3450.04152,98.613
3448.00128,98.574
3445.96105,98.567
3443.92081,98.599
3441.88057,98.622
3439.84033,98.621
3437.8001,98.602
3435.75986,98.584
3433.71962,98.598
3431.67938,98.623
3429.63915,98.623
3427.59891,98.621
3425.55867,98.642
3423.51843,98.661
3421.4782,98.654
3419.43796,98.64
3417.39772,98.645
3415.35749,98.664
3413.31725,98.679
3411.27701,98.689
3409.23677,98.692
3407.19654,98.694
3405.1563,98.703
3403.11606,98.699
3401.07582,98.688
3399.03559,98.684
3396.99535,98.691
3394.95511,98.688
3392.91487,98.693
3390.87464,98.709
3388.8344,98.718
3386.79416,98.722
3384.75392,98.734
3382.71369,98.75
3380.67345,98.761
3378.63321,98.762
3376.59297,98.758
3374.55274,98.767
3372.5125,98.782
3370.47226,98.795
3368.43202,98.796
3366.39179,98.771
3364.35155,98.735
3362.31131,98.731
3360.27107,98.768
3358.23084,98.805
3356.1906,98.821
3354.15036,98.829
3352.11012,98.827
3350.06989,98.811
3348.02965,98.803
3345.98941,98.821
3343.94917,98.843
3341.90894,98.86
3339.8687,98.871
3337.82846,98.856
3335.78822,98.826
3333.74799,98.817
3331.70775,98.833
3329.66751,98.85
3327.62727,98.849
3325.58704,98.836
3323.5468,98.829
3321.50656,98.843
3319.46633,98.863
3317.42609,98.85
3315.38585,98.829
3313.34561,98.835
3311.30538,98.847
3309.26514,98.85
3307.2249,98.86
3305.18466,98.857
3303.14443,98.83
3301.10419,98.816
3299.06395,98.826
3297.02371,98.837
3294.98348,98.847
3292.94324,98.861
3290.903,98.866
3288.86276,98.859
3286.82253,98.839
3284.78229,98.817
3282.74205,98.837
3280.70181,98.886
3278.66158,98.893
3276.62134,98.864
3274.5811,98.843
3272.54086,98.839
3270.50063,98.852
3268.46039,98.866
3266.42015,98.864
3264.37991,98.857
3262.33968,98.841
3260.29944,98.815
3258.2592,98.801
3256.21896,98.8
3254.17873,98.799
3252.13849,98.802
3250.09825,98.814
