TITLE SAMPLE NAME:,HDPE_BODYWASH
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.920
LASTX:,599.82981
LASTY:,98.866
NPOINTS:,1681
3596.93862,98.801
3594.89838,98.778
3592.85814,98.888
3590.81791,98.938
3588.77767,98.749
3586.73743,98.682
3584.69719,98.871
3582.65696,98.971
3580.61672,98.945
3578.57648,98.931
3576.53624,98.946
3574.49601,98.993
3572.45577,99.065
3570.41553,99.004
3568.37529,98.742
3566.33506,98.613
3564.29482,98.758
3562.25458,98.870
3560.21434,98.895
3558.17411,98.948
3556.13387,98.983
3554.09363,98.928
3552.05339,98.896
3550.01316,98.933
3547.97292,98.885
3545.93268,98.783
3543.89244,98.807
3541.85221,98.929
3539.81197,99.006
3537.77173,98.989
3535.73149,98.961
3533.69126,98.966
3531.65102,98.949
3529.61078,98.902
3527.57054,98.877
3525.53031,98.886
3523.49007,98.913
3521.44983,98.960
3519.40959,98.982
3517.36936,98.982
3515.32912,99.000
3513.28888,98.992
3511.24865,98.927
3509.20841,98.900
3507.16817,98.951
3505.12793,98.931
3503.08770,98.879
3501.04746,98.943
3499.00722,99.007
3496.96698,99.000
3494.92675,99.017
3492.88651,99.068
3490.84627,99.074
3488.80603,99.041
3486.76580,99.044
3484.72556,99.044
3482.68532,98.988
3480.64508,98.985
3478.60485,99.034
3476.56461,99.042
3474.52437,99.046
3472.48413,99.078
3470.44390,99.107
3468.40366,99.107
3466.36342,99.102
3464.32318,99.104
3462.28295,99.108
3460.24271,99.119
3458.20247,99.114
3456.16223,99.106
3454.12200,99.127
3452.08176,99.165
3450.04152,99.161
3448.00128,99.094
3445.96105,99.086
3443.92081,99.130
3441.88057,99.140
3439.84033,99.154
3437.80010,99.163
3435.75986,99.149
3433.71962,99.131
3431.67938,99.129
3429.63915,99.139
3427.59891,99.164
3425.55867,99.201
3423.51843,99.205
3421.47820,99.182
