TITLE SAMPLE NAME:,HDPE_COKE_CAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
3133.80472,98.569
3131.76448,98.586
3129.72424,98.601
3127.68401,98.568
3125.64377,98.539
3123.60353,98.547
3121.56329,98.568
3119.52306,98.579
3117.48282,98.564
3115.44258,98.543
3113.40234,98.545
3111.36211,98.557
3109.32187,98.559
3107.28163,98.562
3105.24139,98.576
3103.20116,98.582
3101.16092,98.568
3099.12068,98.55
3097.08044,98.536
3095.04021,98.548
3092.99997,98.574
3090.95973,98.576
3088.91949,98.568
3086.87926,98.56
3084.83902,98.555
3082.79878,98.561
3080.75854,98.57
3078.71831,98.569
3076.67807,98.566
3074.63783,98.563
3072.59759,98.554
3070.55736,98.541
3068.51712,98.526
3066.47688,98.516
3064.43664,98.526
3062.39641,98.554
3060.35617,98.562
3058.31593,98.539
3056.27569,98.54
3054.23546,98.578
3052.19522,98.596
3050.15498,98.576
3048.11474,98.552
3046.07451,98.546
3044.03427,98.546
3041.99403,98.545
3039.95379,98.553
3037.91356,98.559
3035.87332,98.555
3033.83308,98.547
3031.79285,98.533
3029.75261,98.537
3027.71237,98.564
3025.67213,98.579
3023.6319,98.567
3021.59166,98.547
3019.55142,98.542
3017.51118,98.542
3015.47095,98.536
3013.43071,98.528
3011.39047,98.533
3009.35023,98.56
3007.31,98.58
3005.26976,98.576
3003.22952,98.579
3001.18928,98.59
2999.14905,98.595
2997.10881,98.602
2995.06857,98.601
2993.02833,98.579
2990.9881,98.566
2988.94786,98.59
2986.90762,98.623
2984.86738,98.632
2982.82715,98.619
2980.78691,98.602
2978.74667,98.591
2976.70643,98.574
2974.6662,98.553
2972.62596,98.557
2970.58572,98.585
2968.54548,98.597
2966.50525,98.584
2964.46501,98.575
2962.42477,98.57
2960.38453,98.554
2958.3443,98.554
2956.30406,98.582
2954.26382,98.614
2952.22358,98.633
2950.18335,98.626
2948.14311,98.587
2946.10287,98.532
2944.06264,98.474
2942.0224,98.408
2939.98216,98.316
2937.94192,98.199
2935.90169,98.037
2933.86145,97.807
2931.82121,97.538
2929.78097,97.224
2927.74074,96.824
2925.7005,96.333
2923.66026,95.743
2921.62002,95.032
2919.57979,94.234
2917.53955,93.46
2915.49931,92.872
2913.45907,92.625
2911.41884,92.724
2909.3786,93.024
2907.33836,93.405
2905.29812,93.803
2903.25789,94.14
2901.21765,94.401
2899.17741,94.638
2897.13717,94.85
2895.09694,95.015
2893.0567,95.166
2891.01646,95.328
2888.97622,95.493
2886.93599,95.658
2884.89575,95.844
2882.85551,96.059
2880.81527,96.278
2878.77504,96.486
2876.7348,96.687
2874.69456,96.881
2872.65432,97.055
2870.61409,97.202
2868.57385,97.333
2866.53361,97.436
2864.49337,97.5
2862.45314,97.513
2860.4129,97.423
2858.37266,97.199
2856.33242,96.804
2854.29219,96.148
2852.25195,95.194
2850.21171,94.095
2848.17148,93.197
2846.13124,92.809
2844.091,92.909
2842.05076,93.282
2840.01053,93.767
2837.97029,94.279
