TITLE SAMPLE NAME:,PP_BOX_BLACK
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.613
LASTX:,599.82981
LASTY:,98.846
NPOINTS:,1681
3594.89838,98.483
3592.85814,98.4
3590.81791,98.385
3588.77767,98.532
3586.73743,98.573
3584.69719,98.486
3582.65696,98.511
3580.61672,98.6
3578.57648,98.628
3576.53624,98.615
3574.49601,98.575
3572.45577,98.502
3570.41553,98.505
3568.37529,98.603
3566.33506,98.561
3564.29482,98.435
3562.25458,98.475
3560.21434,98.582
3558.17411,98.606
3556.13387,98.592
3554.09363,98.606
3552.05339,98.589
3550.01316,98.535
3547.97292,98.547
3545.93268,98.578
3543.89244,98.57
3541.85221,98.591
3539.81197,98.655
3537.77173,98.708
3535.73149,98.688
3533.69126,98.617
3531.65102,98.581
3529.61078,98.589
3527.57054,98.593
3525.53031,98.599
3523.49007,98.628
3521.44983,98.644
3519.40959,98.66
3517.36936,98.695
3515.32912,98.715
3513.28888,98.707
3511.24865,98.694
3509.20841,98.669
3507.16817,98.623
3505.12793,98.636
3503.0877,98.665
3501.04746,98.641
3499.00722,98.654
3496.96698,98.705
3494.92675,98.729
3492.88651,98.731
3490.84627,98.723
3488.80603,98.704
3486.7658,98.689
3484.72556,98.721
3482.68532,98.775
3480.64508,98.76
3478.60485,98.727
3476.56461,98.743
3474.52437,98.763
3472.48413,98.772
3470.4439,98.783
3468.40366,98.79
3466.36342,98.791
3464.32318,98.797
3462.28295,98.8
3460.24271,98.785
3458.20247,98.788
3456.16223,98.819
3454.122,98.854
3452.08176,98.862
3450.04152,98.853
3448.00128,98.862
3445.96105,98.838
3443.92081,98.807
3441.88057,98.829
3439.84033,98.87
3437.8001,98.903
3435.75986,98.902
3433.71962,98.886
3431.67938,98.875
3429.63915,98.856
3427.59891,98.851
3425.55867,98.872
3423.51843,98.891
3421.4782,98.898
3419.43796,98.886
3417.39772,98.884
3415.35749,98.906
3413.31725,98.924
3411.27701,98.928
3409.23677,98.924
3407.19654,98.927
3405.1563,98.944
3403.11606,98.954
3401.07582,98.939
3399.03559,98.915
3396.99535,98.914
3394.95511,98.918
3392.91487,98.928
3390.87464,98.933
3388.8344,98.944
3386.79416,98.958
3384.75392,98.961
3382.71369,98.967
3380.67345,98.987
3378.63321,99.005
3376.59297,99.013
3374.55274,99.014
3372.5125,99.002
3370.47226,98.988
3368.43202,98.982
3366.39179,98.969
3364.35155,98.949
3362.31131,98.969
3360.27107,99.022
3358.23084,99.056
3356.1906,99.058
3354.15036,99.042
3352.11012,99.03
3350.06989,99.033
3348.02965,99.045
3345.98941,99.052
3343.94917,99.044
3341.90894,99.045
3339.8687,99.07
3337.82846,99.09
3335.78822,99.084
3333.74799,99.065
3331.70775,99.055
3329.66751,99.068
3327.62727,99.085
3325.58704,99.083
3323.5468,99.07
3321.50656,99.068
3319.46633,99.075
3317.42609,99.068
3315.38585,99.046
3313.34561,99.036
3311.30538,99.051
3309.26514,99.087
3307.2249,99.112
3305.18466,99.103
3303.14443,99.068
3301.10419,99.039
3299.06395,99.033
3297.02371,99.042
3294.98348,99.069
3292.94324,99.096
3290.903,99.099
3288.86276,99.091
3286.82253,99.086
3284.78229,99.067
3282.74205,99.055
3280.70181,99.067
3278.66158,99.081
3276.62134,99.088
3274.5811,99.08
3272.54086,99.06
3270.50063,99.059
3268.46039,99.071
3266.42015,99.072
3264.37991,99.062
3262.33968,99.045
3260.29944,99.025
3258.2592,99.025
3256.21896,99.044
3254.17873,99.058
3252.13849,99.059
3250.09825,99.053
3248.05801,99.039
3246.01778,99.024
3243.97754,99.015
3241.9373,99.008
3239.89706,99
3237.85683,98.981
3235.81659,98.957
3233.77635,98.945
3231.73611,98.961
3229.69588,98.986
3227.65564,98.983
3225.6154,98.964
3223.57517,98.964
3221.53493,98.988
3219.49469,99.01
3217.45445,99
3215.41422,98.974
3213.37398,98.957
3211.33374,98.957
3209.2935,98.974
3207.25327,98.99
3205.21303,98.985
3203.17279,98.959
3201.13255,98.945
3199.09232,98.961
3197.05208,98.979
3195.01184,98.981
3192.9716,98.98
3190.93137,98.976
3188.89113,98.961
3186.85089,98.947
3184.81065,98.937
3182.77042,98.923
3180.73018,98.92
3178.68994,98.939
3176.6497,98.954
3174.60947,98.956
3172.56923,98.954
3170.52899,98.945
3168.48875,98.926
3166.44852,98.913
3164.40828,98.91
3162.36804,98.907
3160.3278,98.915
3158.28757,98.93
3156.24733,98.934
3154.20709,98.933
3152.16685,98.931
3150.12662,98.915
3148.08638,98.889
3146.04614,98.864
3144.0059,98.853
3141.96567,98.862
3139.92543,98.878
3137.88519,98.886
3135.84495,98.893
3133.80472,98.914
3131.76448,98.935
3129.72424,98.932
3127.68401,98.903
3125.64377,98.881
3123.60353,98.89
3121.56329,98.892
3119.52306,98.872
3117.48282,98.852
3115.44258,98.834
3113.40234,98.834
3111.36211,98.86
3109.32187,98.879
3107.28163,98.883
3105.24139,98.89
3103.20116,98.895
3101.16092,98.888
3099.12068,98.883
3097.08044,98.896
3095.04021,98.9
3092.99997,98.878
3090.95973,98.844
3088.91949,98.832
3086.87926,98.858
3084.83902,98.884
3082.79878,98.882
3080.75854,98.867
3078.71831,98.857
3076.67807,98.853
3074.63783,98.858
3072.59759,98.864
3070.55736,98.857
3068.51712,98.844
3066.47688,98.832
3064.43664,98.825
3062.39641,98.831
3060.35617,98.842
3058.31593,98.855
3056.27569,98.888
3054.23546,98.924
3052.19522,98.926
3050.15498,98.896
3048.11474,98.872
3046.07451,98.866
3044.03427,98.859
3041.99403,98.859
3039.95379,98.87
3037.91356,98.872
3035.87332,98.865
3033.83308,98.859
3031.79285,98.857
3029.75261,98.871
3027.71237,98.899
3025.67213,98.907
3023.6319,98.881
3021.59166,98.854
3019.55142,98.853
3017.51118,98.861
3015.47095,98.847
3013.43071,98.823
3011.39047,98.822
3009.35023,98.832
3007.31,98.842
3005.26976,98.867
3003.22952,98.89
3001.18928,98.89
2999.14905,98.877
2997.10881,98.865
2995.06857,98.862
2993.02833,98.864
2990.9881,98.865
2988.94786,98.867
2986.90762,98.871
2984.86738,98.867
2982.82715,98.849
2980.78691,98.829
2978.74667,98.809
2976.70643,98.767
2974.6662,98.712
2972.62596,98.667
2970.58572,98.606
2968.54548,98.488
2966.50525,98.332
2964.46501,98.174
2962.42477,98.008
2960.38453,97.852
2958.3443,97.759
2956.30406,97.715
2954.26382,97.648
2952.22358,97.547
2950.18335,97.446
2948.14311,97.392
2946.10287,97.447
2944.06264,97.611
2942.0224,97.791
2939.98216,97.917
2937.94192,97.992
2935.90169,98.005
2933.86145,97.941
2931.82121,97.828
2929.78097,97.679
2927.74074,97.499
2925.7005,97.324
2923.66026,97.172
2921.62002,97.016
2919.57979,96.852
2917.53955,96.737
2915.49931,96.712
2913.45907,96.749
2911.41884,96.806
2909.3786,96.876
2907.33836,96.982
2905.29812,97.107
2903.25789,97.197
2901.21765,97.259
2899.17741,97.346
2897.13717,97.452
2895.09694,97.544
2893.0567,97.634
2891.01646,97.709
2888.97622,97.744
2886.93599,97.744
2884.89575,97.737
2882.85551,97.732
2880.81527,97.712
2878.77504,97.68
2876.7348,97.65
2874.69456,97.619
2872.65432,97.583
2870.61409,97.544
2868.57385,97.508
2866.53361,97.497
2864.49337,97.537
2862.45314,97.631
2860.4129,97.735
2858.37266,97.814
2856.33242,97.853
2854.29219,97.848
2852.25195,97.827
2850.21171,97.828
2848.17148,97.853
2846.13124,97.858
2844.091,97.812
2842.05076,97.733
2840.01053,97.646
2837.97029,97.566
2835.93005,97.524
