TITLE SAMPLE NAME:,HDPE_BOOMER
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.143
LASTX:,599.82981
LASTY:,95.752
NPOINTS:,1681
3594.89838,97.993
3592.85814,97.981
3590.81791,97.967
3588.77767,97.933
3586.73743,97.917
3584.69719,97.968
3582.65696,98.047
3580.61672,98.109
3578.57648,98.141
3576.53624,98.147
3574.49601,98.137
3572.45577,98.111
3570.41553,98.062
3568.37529,97.983
3566.33506,97.917
3564.29482,97.936
3562.25458,98.02
3560.21434,98.108
3558.17411,98.158
3556.13387,98.151
3554.09363,98.104
3552.05339,98.078
3550.01316,98.094
3547.97292,98.098
3545.93268,98.075
3543.89244,98.083
3541.85221,98.131
3539.81197,98.171
3537.77173,98.175
3535.73149,98.155
3533.69126,98.133
3531.65102,98.115
3529.61078,98.107
3527.57054,98.115
3525.53031,98.129
3523.49007,98.139
3521.44983,98.15
3519.40959,98.152
3517.36936,98.142
3515.32912,98.138
3513.28888,98.149
3511.24865,98.159
3509.20841,98.162
3507.16817,98.155
3505.12793,98.137
3503.0877,98.131
3501.04746,98.159
3499.00722,98.196
3496.96698,98.219
3494.92675,98.243
3492.88651,98.258
3490.84627,98.239
3488.80603,98.218
3486.7658,98.234
3484.72556,98.26
3482.68532,98.246
3480.64508,98.215
3478.60485,98.224
3476.56461,98.26
3474.52437,98.289
3472.48413,98.297
3470.4439,98.285
3468.40366,98.27
3466.36342,98.278
3464.32318,98.291
3462.28295,98.276
3460.24271,98.261
3458.20247,98.277
3456.16223,98.31
3454.122,98.342
3452.08176,98.358
3450.04152,98.341
3448.00128,98.294
3445.96105,98.264
3443.92081,98.281
3441.88057,98.324
3439.84033,98.362
3437.8001,98.372
3435.75986,98.355
3433.71962,98.352
3431.67938,98.375
3429.63915,98.387
3427.59891,98.374
3425.55867,98.364
3423.51843,98.362
3421.4782,98.349
3419.43796,98.338
3417.39772,98.359
3415.35749,98.397
3413.31725,98.419
3411.27701,98.424
3409.23677,98.414
3407.19654,98.409
3405.1563,98.43
3403.11606,98.454
3401.07582,98.455
3399.03559,98.433
3396.99535,98.414
3394.95511,98.399
3392.91487,98.404
3390.87464,98.425
3388.8344,98.442
3386.79416,98.45
3384.75392,98.456
3382.71369,98.46
3380.67345,98.453
3378.63321,98.438
3376.59297,98.438
3374.55274,98.469
3372.5125,98.503
3370.47226,98.51
3368.43202,98.494
3366.39179,98.477
3364.35155,98.468
3362.31131,98.477
3360.27107,98.512
3358.23084,98.544
3356.1906,98.552
3354.15036,98.549
3352.11012,98.532
3350.06989,98.497
3348.02965,98.475
3345.98941,98.49
3343.94917,98.514
3341.90894,98.529
3339.8687,98.542
3337.82846,98.554
3335.78822,98.556
3333.74799,98.553
3331.70775,98.554
3329.66751,98.561
3327.62727,98.563
3325.58704,98.567
3323.5468,98.58
3321.50656,98.59
3319.46633,98.587
3317.42609,98.569
3315.38585,98.548
3313.34561,98.548
3311.30538,98.563
3309.26514,98.578
3307.2249,98.592
3305.18466,98.591
3303.14443,98.561
3301.10419,98.537
3299.06395,98.537
3297.02371,98.538
3294.98348,98.537
3292.94324,98.548
3290.903,98.568
3288.86276,98.587
3286.82253,98.586
3284.78229,98.558
3282.74205,98.542
3280.70181,98.555
3278.66158,98.553
3276.62134,98.542
3274.5811,98.548
3272.54086,98.554
3270.50063,98.556
3268.46039,98.559
3266.42015,98.55
3264.37991,98.538
3262.33968,98.534
3260.29944,98.534
3258.2592,98.533
3256.21896,98.535
3254.17873,98.539
3252.13849,98.54
3250.09825,98.535
3248.05801,98.517
3246.01778,98.489
3243.97754,98.479
3241.9373,98.498
3239.89706,98.514
3237.85683,98.5
3235.81659,98.461
3233.77635,98.436
3231.73611,98.442
3229.69588,98.448
3227.65564,98.438
3225.6154,98.428
3223.57517,98.423
3221.53493,98.433
3219.49469,98.458
3217.45445,98.469
3215.41422,98.454
3213.37398,98.442
3211.33374,98.443
3209.2935,98.452
3207.25327,98.475
3205.21303,98.495
3203.17279,98.486
3201.13255,98.458
3199.09232,98.436
3197.05208,98.441
3195.01184,98.47
3192.9716,98.48
3190.93137,98.454
3188.89113,98.421
3186.85089,98.409
3184.81065,98.421
3182.77042,98.429
3180.73018,98.425
3178.68994,98.423
3176.6497,98.424
3174.60947,98.428
3172.56923,98.436
3170.52899,98.432
3168.48875,98.417
3166.44852,98.406
3164.40828,98.41
3162.36804,98.422
3160.3278,98.429
3158.28757,98.418
3156.24733,98.401
3154.20709,98.402
3152.16685,98.409
3150.12662,98.398
3148.08638,98.381
3146.04614,98.374
3144.0059,98.367
3141.96567,98.362
3139.92543,98.368
3137.88519,98.379
3135.84495,98.384
3133.80472,98.397
3131.76448,98.425
3129.72424,98.44
3127.68401,98.415
3125.64377,98.374
3123.60353,98.357
3121.56329,98.368
3119.52306,98.388
3117.48282,98.394
3115.44258,98.383
3113.40234,98.383
3111.36211,98.405
3109.32187,98.424
3107.28163,98.419
3105.24139,98.4
3103.20116,98.391
3101.16092,98.395
3099.12068,98.4
3097.08044,98.403
3095.04021,98.409
3092.99997,98.409
3090.95973,98.388
3088.91949,98.366
3086.87926,98.37
3084.83902,98.389
3082.79878,98.404
3080.75854,98.408
3078.71831,98.41
3076.67807,98.414
3074.63783,98.414
3072.59759,98.405
3070.55736,98.397
3068.51712,98.394
3066.47688,98.388
3064.43664,98.384
3062.39641,98.389
3060.35617,98.394
3058.31593,98.393
3056.27569,98.398
3054.23546,98.411
3052.19522,98.406
3050.15498,98.384
3048.11474,98.367
3046.07451,98.365
3044.03427,98.373
3041.99403,98.39
3039.95379,98.404
3037.91356,98.401
3035.87332,98.392
3033.83308,98.39
