TITLE SAMPLE NAME:,PET_LIPTON
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.235
LASTX:,599.82981
LASTY:,99.164
NPOINTS:,1681
1650.55209,98.467
1648.51186,98.549
1646.47162,98.926
1644.43138,98.782
1642.39114,98.604
1640.35091,98.619
1638.31067,98.841
1636.27043,99.185
1634.23019,99.057
1632.18996,98.753
1630.14972,98.801
1628.10948,98.931
1626.06924,98.95
1624.02901,98.997
1621.98877,98.878
1619.94853,98.793
1617.90829,99.069
1615.86806,99.145
1613.82782,98.884
1611.78758,98.834
1609.74735,98.943
1607.70711,98.969
1605.66687,98.949
1603.62663,98.975
1601.5864,99.006
1599.54616,99.01
1597.50592,99.026
1595.46568,99.055
1593.42545,99.056
1591.38521,99.047
1589.34497,99.047
1587.30473,99.042
1585.2645,99.034
1583.22426,98.993
1581.18402,98.898
1579.14378,98.931
1577.10355,99.154
1575.06331,99.046
1573.02307,98.776
1570.98283,98.951
1568.9426,99.099
1566.90236,98.919
1564.86212,98.724
1562.82188,98.676
1560.78165,99.132
1558.74141,99.502
1556.70117,98.979
1554.66093,98.675
1552.6207,98.749
1550.58046,98.844
1548.54022,98.794
1546.49998,98.699
1544.45975,98.725
1542.41951,98.959
1540.37927,99.265
1538.33903,98.952
1536.2988,98.66
1534.25856,98.915
1532.21832,98.994
1530.17808,98.81
1528.13785,98.803
1526.09761,98.799
1524.05737,98.824
1522.01713,98.983
1519.9769,98.888
1517.93666,98.778
1515.89642,98.782
1513.85619,98.694
1511.81595,98.592
1509.77571,98.674
1507.73547,99.033
1505.69524,98.953
1503.655,98.516
1501.61476,98.497
1499.57452,98.822
1497.53429,99.061
1495.49405,98.952
1493.45381,98.767
1491.41357,98.888
1489.37334,99.062
1487.3331,99.017
1485.29286,98.947
1483.25262,98.989
