TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
2754.34971,0.00666
2752.30945,0.00660
2750.26920,0.00659
2748.22894,0.00658
2746.18868,0.00650
2744.14842,0.00643
2742.10816,0.00647
2740.06790,0.00653
2738.02764,0.00655
2735.98738,0.00656
2733.94712,0.00653
2731.90686,0.00648
2729.86660,0.00654
2727.82635,0.00660
2725.78609,0.00654
2723.74583,0.00649
2721.70557,0.00654
2719.66531,0.00658
2717.62505,0.00655
2715.58479,0.00651
2713.54453,0.00651
2711.50427,0.00651
2709.46401,0.00650
2707.42376,0.00649
2705.38350,0.00650
2703.34324,0.00649
2701.30298,0.00645
2699.26272,0.00643
2697.22246,0.00644
2695.18220,0.00648
2693.14194,0.00653
2691.10168,0.00654
2689.06142,0.00658
2687.02116,0.00668
2684.98091,0.00673
2682.94065,0.00669
2680.90039,0.00660
2678.86013,0.00650
2676.81987,0.00646
2674.77961,0.00645
2672.73935,0.00646
2670.69909,0.00652
2668.65883,0.00657
2666.61857,0.00655
2664.57832,0.00648
2662.53806,0.00650
2660.49780,0.00657
2658.45754,0.00655
2656.41728,0.00647
2654.37702,0.00644
2652.33676,0.00646
2650.29650,0.00654
2648.25624,0.00660
2646.21598,0.00652
2644.17572,0.00643
2642.13547,0.00647
2640.09521,0.00652
2638.05495,0.00650
2636.01469,0.00648
2633.97443,0.00651
2631.93417,0.00655
2629.89391,0.00655
2627.85365,0.00649
2625.81339,0.00639
2623.77313,0.00632
2621.73288,0.00630
2619.69262,0.00631
2617.65236,0.00634
2615.61210,0.00644
2613.57184,0.00653
2611.53158,0.00649
2609.49132,0.00635
2607.45106,0.00622
2605.41080,0.00624
2603.37054,0.00633
2601.33028,0.00638
2599.29003,0.00645
2597.24977,0.00652
2595.20951,0.00652
2593.16925,0.00649
2591.12899,0.00648
2589.08873,0.00649
2587.04847,0.00648
2585.00821,0.00648
2582.96795,0.00651
2580.92769,0.00645
2578.88744,0.00637
2576.84718,0.00642
2574.80692,0.00653
2572.76666,0.00655
2570.72640,0.00652
2568.68614,0.00652
2566.64588,0.00652
2564.60562,0.00651
2562.56536,0.00645
2560.52510,0.00634
2558.48484,0.00629
2556.44459,0.00635
2554.40433,0.00646
2552.36407,0.00649
2550.32381,0.00641
2548.28355,0.00636
2546.24329,0.00641
2544.20303,0.00644
2542.16277,0.00637
2540.12251,0.00633
2538.08225,0.00635
2536.04200,0.00641
2534.00174,0.00644
2531.96148,0.00645
2529.92122,0.00645
2527.88096,0.00641
2525.84070,0.00639
2523.80044,0.00643
2521.76018,0.00643
2519.71992,0.00640
2517.67966,0.00640
2515.63940,0.00644
2513.59915,0.00645
2511.55889,0.00641
2509.51863,0.00639
2507.47837,0.00641
2505.43811,0.00635
2503.39785,0.00627
2501.35759,0.00626
2499.31733,0.00628
2497.27707,0.00631
2495.23681,0.00631
2493.19656,0.00630
2491.15630,0.00631
2489.11604,0.00636
2487.07578,0.00645
2485.03552,0.00653
2482.99526,0.00656
2480.95500,0.00657
2478.91474,0.00655
2476.87448,0.00652
2474.83422,0.00648
2472.79396,0.00641
2470.75371,0.00639
2468.71345,0.00640
2466.67319,0.00636
2464.63293,0.00628
2462.59267,0.00622
2460.55241,0.00618
2458.51215,0.00620
2456.47189,0.00625
2454.43163,0.00626
2452.39137,0.00627
2450.35112,0.00631
2448.31086,0.00631
2446.27060,0.00627
2444.23034,0.00629
2442.19008,0.00636
2440.14982,0.00637
2438.10956,0.00635
2436.06930,0.00635
2434.02904,0.00638
2431.98878,0.00639
2429.94852,0.00641
2427.90827,0.00642
2425.86801,0.00641
2423.82775,0.00642
2421.78749,0.00645
2419.74723,0.00641
2417.70697,0.00636
2415.66671,0.00635
2413.62645,0.00634
2411.58619,0.00632
2409.54593,0.00632
2407.50568,0.00633
2405.46542,0.00631
2403.42516,0.00630
2401.38490,0.00634
2399.34464,0.00632
2397.30438,0.00626
2395.26412,0.00624
2393.22386,0.00631
2391.18360,0.00644
2389.14334,0.00659
2387.10308,0.00679
2385.06283,0.00713
2383.02257,0.00772
2380.98231,0.00858
2378.94205,0.00962
2376.90179,0.01064
2374.86153,0.01159
2372.82127,0.01256
2370.78101,0.01348
2368.74075,0.01420
2366.70049,0.01488
2364.66024,0.01560
2362.61998,0.01603
2360.57972,0.01607
2358.53946,0.01594
2356.49920,0.01556
2354.45894,0.01478
2352.41868,0.01372
2350.37842,0.01271
2348.33816,0.01233
2346.29790,0.01285
