TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
1885.1794,98.5
1883.13916,98.519
1881.09893,98.522
1879.05869,98.508
1877.01845,98.503
1874.97821,98.519
1872.93798,98.519
1870.89774,98.475
1868.8575,98.413
1866.81726,98.4
1864.77703,98.44
1862.73679,98.483
1860.69655,98.499
1858.65631,98.491
1856.61608,98.479
1854.57584,98.47
1852.5356,98.467
1850.49536,98.464
1848.45513,98.453
1846.41489,98.432
1844.37465,98.417
1842.33441,98.429
1840.29418,98.459
1838.25394,98.479
1836.2137,98.49
1834.17346,98.493
1832.13323,98.466
1830.09299,98.422
1828.05275,98.401
1826.01251,98.408
1823.97228,98.43
1821.93204,98.459
1819.8918,98.474
1817.85156,98.469
1815.81133,98.46
1813.77109,98.441
1811.73085,98.413
1809.69061,98.406
1807.65038,98.425
1805.61014,98.437
1803.5699,98.407
1801.52967,98.357
1799.48943,98.346
1797.44919,98.371
1795.40895,98.38
1793.36872,98.353
1791.32848,98.334
1789.28824,98.359
1787.248,98.39
1785.20777,98.399
1783.16753,98.401
1781.12729,98.391
1779.08705,98.372
1777.04682,98.366
1775.00658,98.357
1772.96634,98.327
1770.9261,98.309
1768.88587,98.341
1766.84563,98.392
1764.80539,98.412
1762.76515,98.402
1760.72492,98.39
1758.68468,98.377
1756.64444,98.364
1754.6042,98.361
1752.56397,98.334
1750.52373,98.271
1748.48349,98.232
1746.44325,98.241
1744.40302,98.272
1742.36278,98.312
1740.32254,98.347
1738.2823,98.358
1736.24207,98.343
1734.20183,98.304
1732.16159,98.281
1730.12135,98.302
1728.08112,98.352
1726.04088,98.403
1724.00064,98.434
1721.9604,98.438
1719.92017,98.376
1717.87993,98.251
