TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
1777.04682,98.553
1775.00658,98.556
1772.96634,98.569
1770.9261,98.571
1768.88587,98.564
1766.84563,98.564
1764.80539,98.565
1762.76515,98.558
1760.72492,98.549
1758.68468,98.533
1756.64444,98.509
1754.6042,98.495
1752.56397,98.489
1750.52373,98.473
1748.48349,98.445
1746.44325,98.42
1744.40302,98.417
1742.36278,98.453
1740.32254,98.505
1738.2823,98.537
1736.24207,98.543
1734.20183,98.526
1732.16159,98.497
1730.12135,98.485
1728.08112,98.499
1726.04088,98.526
1724.00064,98.551
1721.9604,98.566
1719.92017,98.559
1717.87993,98.524
1715.83969,98.499
1713.79945,98.508
1711.75922,98.518
1709.71898,98.518
1707.67874,98.519
1705.63851,98.526
1703.59827,98.535
1701.55803,98.538
1699.51779,98.532
1697.47756,98.538
1695.43732,98.55
1693.39708,98.537
1691.35684,98.506
1689.31661,98.492
1687.27637,98.515
1685.23613,98.533
1683.19589,98.499
1681.15566,98.469
1679.11542,98.498
1677.07518,98.557
1675.03494,98.583
1672.99471,98.568
1670.95447,98.549
1668.91423,98.538
1666.87399,98.534
1664.83376,98.537
1662.79352,98.54
1660.75328,98.542
1658.71304,98.552
1656.67281,98.583
1654.63257,98.633
1652.59233,98.654
1650.55209,98.64
1648.51186,98.63
1646.47162,98.617
1644.43138,98.582
1642.39114,98.556
1640.35091,98.558
1638.31067,98.584
1636.27043,98.612
1634.23019,98.614
1632.18996,98.603
1630.14972,98.608
1628.10948,98.629
1626.06924,98.645
