TITLE SAMPLE NAME:,PP_ICE_CREAM
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.787
LASTX:,599.82981
LASTY:,97.212
NPOINTS:,1681
3594.89838,97.644
3592.85814,97.728
3590.81791,97.733
3588.77767,97.519
3586.73743,97.474
3584.69719,97.709
3582.65696,97.835
3580.61672,97.802
3578.57648,97.757
3576.53624,97.743
3574.49601,97.775
3572.45577,97.829
3570.41553,97.749
3568.37529,97.502
3566.33506,97.424
3564.29482,97.617
3562.25458,97.758
3560.21434,97.794
3558.17411,97.837
3556.13387,97.846
3554.09363,97.772
3552.05339,97.729
3550.01316,97.751
3547.97292,97.685
3545.93268,97.594
3543.89244,97.652
3541.85221,97.783
3539.81197,97.847
3537.77173,97.818
3535.73149,97.788
3533.69126,97.801
3531.65102,97.793
3529.61078,97.752
3527.57054,97.727
3525.53031,97.726
3523.49007,97.74
3521.44983,97.786
3519.40959,97.812
3517.36936,97.805
3515.32912,97.813
3513.28888,97.814
3511.24865,97.775
3509.20841,97.774
3507.16817,97.83
3505.12793,97.794
3503.0877,97.732
3501.04746,97.79
3499.00722,97.838
3496.96698,97.824
3494.92675,97.854
3492.88651,97.899
3490.84627,97.868
3488.80603,97.817
3486.7658,97.855
3484.72556,97.911
3482.68532,97.882
3480.64508,97.865
3478.60485,97.893
3476.56461,97.895
3474.52437,97.893
3472.48413,97.918
3470.4439,97.928
3468.40366,97.912
3466.36342,97.917
3464.32318,97.931
3462.28295,97.918
3460.24271,97.921
3458.20247,97.949
3456.16223,97.979
3454.122,97.995
3452.08176,97.999
3450.04152,97.976
3448.00128,97.921
3445.96105,97.935
3443.92081,97.989
3441.88057,98.002
3439.84033,98.015
3437.8001,98.015
3435.75986,98
3433.71962,98.001
3431.67938,98.018
3429.63915,98.021
3427.59891,98.022
3425.55867,98.041
3423.51843,98.041
3421.4782,98.022
3419.43796,98.038
3417.39772,98.052
3415.35749,98.023
3413.31725,97.991
3411.27701,97.994
3409.23677,98.014
3407.19654,98.038
3405.1563,98.068
3403.11606,98.085
3401.07582,98.088
3399.03559,98.067
3396.99535,98.054
3394.95511,98.044
3392.91487,98.047
3390.87464,98.092
3388.8344,98.127
3386.79416,98.105
3384.75392,98.081
3382.71369,98.094
3380.67345,98.111
3378.63321,98.117
3376.59297,98.119
3374.55274,98.127
3372.5125,98.144
3370.47226,98.15
3368.43202,98.128
3366.39179,98.097
3364.35155,98.077
3362.31131,98.074
3360.27107,98.106
3358.23084,98.143
3356.1906,98.159
3354.15036,98.169
3352.11012,98.168
3350.06989,98.158
3348.02965,98.154
3345.98941,98.162
3343.94917,98.171
3341.90894,98.166
3339.8687,98.153
3337.82846,98.146
3335.78822,98.157
3333.74799,98.171
3331.70775,98.18
3329.66751,98.187
3327.62727,98.18
3325.58704,98.169
3323.5468,98.172
3321.50656,98.18
3319.46633,98.177
3317.42609,98.167
3315.38585,98.16
3313.34561,98.161
3311.30538,98.167
3309.26514,98.179
3307.2249,98.201
3305.18466,98.202
3303.14443,98.171
3301.10419,98.153
3299.06395,98.158
3297.02371,98.163
3294.98348,98.164
3292.94324,98.166
3290.903,98.168
3288.86276,98.169
3286.82253,98.156
3284.78229,98.138
3282.74205,98.148
3280.70181,98.177
3278.66158,98.177
3276.62134,98.151
3274.5811,98.138
3272.54086,98.157
3270.50063,98.198
3268.46039,98.222
3266.42015,98.211
3264.37991,98.175
3262.33968,98.137
3260.29944,98.127
3258.2592,98.142
3256.21896,98.147
3254.17873,98.133
3252.13849,98.138
3250.09825,98.154
3248.05801,98.147
3246.01778,98.112
3243.97754,98.098
3241.9373,98.125
3239.89706,98.142
3237.85683,98.119
3235.81659,98.077
3233.77635,98.058
3231.73611,98.068
3229.69588,98.076
3227.65564,98.07
3225.6154,98.072
3223.57517,98.075
3221.53493,98.07
3219.49469,98.086
3217.45445,98.114
3215.41422,98.106
3213.37398,98.077
3211.33374,98.068
3209.2935,98.079
3207.25327,98.094
3205.21303,98.083
3203.17279,98.056
3201.13255,98.042
3199.09232,98.038
3197.05208,98.049
3195.01184,98.066
3192.9716,98.065
3190.93137,98.052
3188.89113,98.047
3186.85089,98.055
3184.81065,98.074
3182.77042,98.083
3180.73018,98.065
3178.68994,98.039
3176.6497,98.039
3174.60947,98.049
3172.56923,98.048
3170.52899,98.04
3168.48875,98.027
3166.44852,98.026
3164.40828,98.041
3162.36804,98.051
3160.3278,98.052
3158.28757,98.054
3156.24733,98.061
3154.20709,98.066
3152.16685,98.058
3150.12662,98.036
3148.08638,98.013
3146.04614,98.001
3144.0059,98.006
3141.96567,98.022
3139.92543,98.036
3137.88519,98.049
3135.84495,98.057
3133.80472,98.066
3131.76448,98.086
3129.72424,98.085
3127.68401,98.043
3125.64377,98.015
3123.60353,98.026
3121.56329,98.048
3119.52306,98.053
3117.48282,98.029
3115.44258,98.006
3113.40234,98.021
3111.36211,98.047
3109.32187,98.041
3107.28163,98.022
3105.24139,98.013
3103.20116,98.003
3101.16092,98.006
3099.12068,98.03
3097.08044,98.04
3095.04021,98.044
3092.99997,98.045
3090.95973,98.028
3088.91949,98.029
3086.87926,98.041
3084.83902,98.022
3082.79878,97.996
3080.75854,97.989
3078.71831,97.993
3076.67807,98.01
3074.63783,98.03
3072.59759,98.039
3070.55736,98.03
3068.51712,98.007
3066.47688,97.991
3064.43664,97.991
3062.39641,98.003
3060.35617,98.012
3058.31593,98.014
3056.27569,98.036
3054.23546,98.075
3052.19522,98.079
3050.15498,98.055
3048.11474,98.049
3046.07451,98.053
3044.03427,98.044
3041.99403,98.044
3039.95379,98.067
3037.91356,98.076
3035.87332,98.061
3033.83308,98.048
3031.79285,98.044
3029.75261,98.05
3027.71237,98.057
3025.67213,98.042
3023.6319,98.006
3021.59166,97.983
3019.55142,97.99
3017.51118,97.999
3015.47095,98.004
3013.43071,98.017
