TITLE SAMPLE NAME:,PP_PLASTIC_BOX_PARCEL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.359
LASTX:,599.82981
LASTY:,96.005
NPOINTS:,1681
2837.97029,96.673
2835.93005,96.599
2833.88981,96.643
2831.84958,96.793
2829.80934,96.974
2827.7691,97.117
2825.72886,97.22
2823.68863,97.312
2821.64839,97.394
2819.60815,97.459
2817.56791,97.513
2815.52768,97.558
2813.48744,97.585
2811.4472,97.604
2809.40696,97.609
2807.36673,97.602
2805.32649,97.606
2803.28625,97.64
2801.24601,97.691
2799.20578,97.729
2797.16554,97.742
2795.1253,97.747
2793.08506,97.746
2791.04483,97.736
2789.00459,97.749
2786.96435,97.794
2784.92411,97.822
2782.88388,97.828
2780.84364,97.84
2778.8034,97.85
2776.76316,97.858
2774.72293,97.864
2772.68269,97.855
2770.64245,97.853
2768.60221,97.87
2766.56198,97.881
2764.52174,97.869
2762.4815,97.855
2760.44126,97.867
2758.40103,97.894
2756.36079,97.906
2754.32055,97.898
2752.28032,97.886
2750.24008,97.896
2748.19984,97.926
2746.1596,97.943
2744.11937,97.936
2742.07913,97.924
2740.03889,97.914
2737.99865,97.903
2735.95842,97.897
2733.91818,97.892
2731.87794,97.891
2729.8377,97.899
2727.79747,97.905
2725.75723,97.895
2723.71699,97.874
2721.67675,97.867
2719.63652,97.884
2717.59628,97.898
2715.55604,97.879
2713.5158,97.857
2711.47557,97.87
2709.43533,97.896
2707.39509,97.908
2705.35485,97.912
2703.31462,97.916
2701.27438,97.916
2699.23414,97.921
2697.1939,97.939
2695.15367,97.944
2693.11343,97.928
2691.07319,97.917
2689.03295,97.915
2686.99272,97.915
2684.95248,97.917
2682.91224,97.918
2680.872,97.92
2678.83177,97.927
2676.79153,97.933
2674.75129,97.931
2672.71105,97.927
2670.67082,97.925
2668.63058,97.936
2666.59034,97.953
2664.5501,97.961
2662.50987,97.96
2660.46963,97.956
2658.42939,97.945
2656.38916,97.939
2654.34892,97.947
2652.30868,97.963
2650.26844,97.974
2648.22821,97.972
2646.18797,97.961
2644.14773,97.952
2642.10749,97.948
2640.06726,97.96
2638.02702,97.984
2635.98678,97.988
2633.94654,97.966
2631.90631,97.956
2629.86607,97.968
2627.82583,97.976
2625.78559,97.965
2623.74536,97.946
2621.70512,97.937
2619.66488,97.945
2617.62464,97.96
2615.58441,97.985
2613.54417,98.003
2611.50393,97.987
2609.46369,97.96
2607.42346,97.96
2605.38322,97.976
2603.34298,97.971
2601.30274,97.95
2599.26251,97.949
2597.22227,97.962
2595.18203,97.966
2593.14179,97.969
2591.10156,97.971
2589.06132,97.964
2587.02108,97.968
2584.98084,97.987
2582.94061,97.991
2580.90037,97.98
2578.86013,97.966
2576.81989,97.949
2574.77966,97.947
2572.73942,97.963
2570.69918,97.968
2568.65894,97.971
2566.61871,97.984
2564.57847,97.982
2562.53823,97.965
2560.498,97.962
2558.45776,97.977
2556.41752,97.988
2554.37728,97.982
2552.33705,97.966
2550.29681,97.961
2548.25657,97.975
2546.21633,97.993
2544.1761,97.997
2542.13586,97.99
2540.09562,97.986
2538.05538,97.997
2536.01515,98.012
2533.97491,98.014
2531.93467,97.999
2529.89443,97.974
2527.8542,97.956
2525.81396,97.953
2523.77372,97.961
2521.73348,97.971
2519.69325,97.971
2517.65301,97.972
2515.61277,97.989
2513.57253,98.007
2511.5323,98.006
2509.49206,97.989
2507.45182,97.967
2505.41158,97.972
2503.37135,98.001
2501.33111,98.018
2499.29087,98.011
2497.25063,98.002
2495.2104,97.991
2493.17016,97.971
2491.12992,97.971
2489.08968,97.986
2487.04945,97.981
2485.00921,97.971
2482.96897,97.971
2480.92873,97.974
2478.8885,97.974
2476.84826,97.976
2474.80802,97.99
2472.76778,98.001
2470.72755,97.999
2468.68731,98.004
2466.64707,98.014
2464.60684,98.004
2462.5666,97.982
2460.52636,97.967
2458.48612,97.967
2456.44589,97.977
2454.40565,97.993
2452.36541,98.002
2450.32517,97.995
2448.28494,97.977
2446.2447,97.962
2444.20446,97.959
2442.16422,97.967
2440.12399,97.98
2438.08375,97.986
2436.04351,97.985
2434.00327,97.978
2431.96304,97.976
2429.9228,97.989
2427.88256,98.004
2425.84232,98.003
2423.80209,97.983
2421.76185,97.969
2419.72161,97.982
2417.68137,97.99
2415.64114,97.973
2413.6009,97.953
2411.56066,97.947
2409.52042,97.951
2407.48019,97.959
2405.43995,97.964
2403.39971,97.969
2401.35947,97.976
2399.31924,97.975
2397.279,97.973
2395.23876,97.977
2393.19852,97.983
2391.15829,97.991
2389.11805,98.003
2387.07781,98.006
2385.03757,97.989
2382.99734,97.968
2380.9571,97.954
2378.91686,97.933
2376.87662,97.919
2374.83639,97.943
2372.79615,97.992
2370.75591,98.032
2368.71568,98.062
2366.67544,98.096
2364.6352,98.139
2362.59496,98.164
2360.55473,98.144
2358.51449,98.092
2356.47425,98.048
2354.43401,98.019
2352.39378,97.987
2350.35354,97.972
2348.3133,97.999
2346.27306,98.05
2344.23283,98.078
2342.19259,98.072
2340.15235,98.067
2338.11211,98.076
2336.07188,98.069
2334.03164,98.038
2331.9914,97.999
2329.95116,97.961
2327.91093,97.928
2325.87069,97.902
2323.83045,97.891
2321.79021,97.901
2319.74998,97.908
2317.70974,97.892
2315.6695,97.877
2313.62926,97.885
2311.58903,97.9
2309.54879,97.907
2307.50855,97.911
2305.46831,97.91
2303.42808,97.91
