TITLE SAMPLE NAME:,PP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
1948.42676,0.96899
1946.38652,0.96908
1944.34629,0.96896
1942.30605,0.96866
1940.26581,0.96851
1938.22557,0.96854
1936.18534,0.9686
1934.1451,0.96874
1932.10486,0.96891
1930.06462,0.96895
1928.02439,0.96895
1925.98415,0.96899
1923.94391,0.96891
1921.90367,0.9687
1919.86344,0.96859
1917.8232,0.96856
1915.78296,0.96853
1913.74272,0.96848
1911.70249,0.96846
1909.66225,0.96853
1907.62201,0.96859
1905.58177,0.96855
1903.54154,0.96848
1901.5013,0.96849
1899.46106,0.96849
1897.42083,0.96841
1895.38059,0.9684
1893.34035,0.96856
1891.30011,0.96877
1889.25988,0.96884
1887.21964,0.9688
1885.1794,0.96877
1883.13916,0.9688
1881.09893,0.96879
1879.05869,0.96873
1877.01845,0.96871
1874.97821,0.96868
1872.93798,0.9686
1870.89774,0.96861
1868.8575,0.96863
1866.81726,0.96851
1864.77703,0.96843
1862.73679,0.96853
1860.69655,0.96861
1858.65631,0.96855
1856.61608,0.96848
1854.57584,0.96854
1852.5356,0.96865
1850.49536,0.96873
1848.45513,0.96875
1846.41489,0.96862
1844.37465,0.96846
1842.33441,0.96854
1840.29418,0.96873
1838.25394,0.96875
1836.2137,0.96861
1834.17346,0.96856
1832.13323,0.96863
1830.09299,0.96868
1828.05275,0.96869
1826.01251,0.9687
1823.97228,0.96868
1821.93204,0.9687
1819.8918,0.96872
1817.85156,0.96874
1815.81133,0.96879
1813.77109,0.96881
1811.73085,0.96878
1809.69061,0.96873
1807.65038,0.96866
1805.61014,0.96858
1803.5699,0.96855
1801.52967,0.96859
1799.48943,0.96865
1797.44919,0.96865
1795.40895,0.96869
1793.36872,0.96872
1791.32848,0.96861
1789.28824,0.96849
1787.248,0.96847
1785.20777,0.96847
1783.16753,0.96849
1781.12729,0.96849
1779.08705,0.96852
1777.04682,0.96877
1775.00658,0.96912
1772.96634,0.96906
1770.9261,0.9685
1768.88587,0.96811
1766.84563,0.96809
1764.80539,0.96821
1762.76515,0.96828
1760.72492,0.96813
1758.68468,0.96785
1756.64444,0.9677
1754.6042,0.96777
1752.56397,0.96789
1750.52373,0.96781
1748.48349,0.96752
1746.44325,0.96729
1744.40302,0.96728
1742.36278,0.96731
1740.32254,0.96718
1738.2823,0.96682
1736.24207,0.96622
1734.20183,0.96536
1732.16159,0.96468
1730.12135,0.96448
1728.08112,0.96436
1726.04088,0.96413
1724.00064,0.96386
1721.9604,0.96374
1719.92017,0.96385
1717.87993,0.96391
1715.83969,0.96367
1713.79945,0.96349
1711.75922,0.96366
1709.71898,0.96418
1707.67874,0.96484
1705.63851,0.96529
